company_name,country_raw,country_list,country_iso3_list,strategic_region,core_scientific_field,company_subfield,physical_ai_use,active_status,independence_status,physical_ai_fit,investment_low_usd_m,investment_base_usd_m,investment_high_usd_m,investment_metric_type,investment_confidence,latest_round_or_event,latest_round_or_event_year,do_not_aggregate_without_metric_filter,company_url,source_urls,status_notes,is_multi_country,company_count
Bright Machines,USA,United States,USA,US,Mechatronics / AI,Industrial robotics & automation,Software-Defined Manufacturing. Uses computer vision and AI-guided robotic arms to autonomously assemble complex physical electronics.,Active,Independent private company,Automated manufacturing / AI-guided assembly,400.0,400.0,648.0,reported_total_funding_range,High for >$400M; Medium for high estimate,2024 $126M Series C,2024,Use caution,https://www.brightmachines.com,https://www.brightmachines.com/press-release/bright-machines-secures-106m-series-c-funding-to-accelerate-the-future-of-software-defined-manufacturing/ ; https://startupintros.com/bright-machines/,Active.,False,1.0
Hadrian,USA,United States,USA,US,Aerospace MatSci,Industrial robotics & automation,"Highly automated, AI-driven precision manufacturing. AI calculates the exact cutting physics required to machine aerospace-grade metals.",Active,Independent private company,Automated precision manufacturing,500.0,611.0,611.0,reported_total_funding_range,Medium-high,2025 $260M Series C,2025,Use caution,https://www.hadrian.co,https://o.parsers.vc/startup/hadrian.co/ ; https://tectonic.co/companies/hadrian,Active.,False,1.0
Varda Space Industries,USA,United States,USA,US,Microgravity Physics,Industrial robotics & automation,"Uses autonomous robotics to manufacture pharmaceuticals in space, then uses autonomous physical navigation for atmospheric re-entry.",Active,Independent private company,Autonomous in-space manufacturing / re-entry systems,329.0,329.0,329.0,reported_total_funding,High,2025 $187M Series C,2025,Use caution,https://varda.com,https://www.prnewswire.com/news-releases/varda-space-industries-raises-187-million-series-c-to-commercialize-orbital-manufacturing-302502361.html ; https://www.reuters.com/business/aerospace-defense/varda-space-industries-raises-187-million-series-c-2025-07-10/,Active.,False,1.0
Anduril Industries,USA,United States,USA,US,Defense / Physics,Aerospace & defense autonomy,"Lattice OS: An AI system that acts as a physical intelligence network, fusing sensor data to autonomously direct drones and submersibles.",Active,Independent private company,Core physical AI / autonomous defense systems,5000.0,8500.0,11300.0,latest_round_with_total_funding_range,High for latest round; Medium for cumulative total,2026 $5B Series H,2026,Yes,https://www.anduril.com,https://www.anduril.com/news/anduril-announces-usd5b-series-h-raise ; https://techcrunch.com/2026/05/13/anduril-raises-5b-doubles-valuation-to-61b/,Active. Defense-tech funding is very fast-moving; do not use midpoint as audited total.,False,1.0
Symbotic,USA,United States,USA,US,Kinematics / AI,Industrial robotics & automation,"Uses a fleet of AI-driven, high-speed autonomous robots that understand physical dimensions to build and move complex palettes of goods in 3D space.",Active public company,Public company,Core physical AI / warehouse robotics,725.0,725.0,725.0,public_spac_proceeds,High,SPAC/public listing transaction,2022,Yes,https://www.symbotic.com,https://www.reuters.com/markets/deals/softbank-spac-takes-walmart-backed-symbotic-public-55-bln-deal-2021-12-13/ ; https://ir.symbotic.com/news-releases/news-release-details/symbotic-announces-completion-business-combination-svb,"Active public company; numeric value is transaction proceeds, not cumulative private funding.",False,1.0
Agibot,China,China,CHN,China / Asia,Embodied AI / Mechatronics,Humanoids & robot foundation models,Hardware/Software: Building the Expedition humanoid series. Uses end-to-end AI foundation models to give robots universal physical intelligence.,Active,Independent private company,Core physical AI / humanoids,83.8,150.0,150.0,reported_total_funding_range_low_confidence,Low-medium,"Recent private funding reports, exact cumulative total unclear",2024-2026,Yes,https://www.agibot.com,https://tracxn.com/d/companies/agibot/__xgqDDGiTbsuys6_3RP5zQK9-9m88hAcb_6K5tfO5-W4/funding-and-investors ; https://www.agibot.com,"Active, but investment amount needs manual diligence.",False,1.0
Unitree Robotics,China,China,CHN,China / Asia,Biomechanics / AI,Humanoids & robot foundation models,"Hardware/Software: Uses deep reinforcement learning to teach quadruped and humanoid (G1/H1) robots dynamic balance, running, and physical recovery.",Active / IPO planned,Independent private company / public-market transition,Core physical AI / quadrupeds and humanoids,610.0,610.0,610.0,planned_ipo_raise,High for IPO target; Low for cumulative funding,2026 Shanghai IPO filing target,2026,Yes,https://www.unitree.com,https://www.reuters.com/technology/chinese-robot-maker-unitree-seeks-610-million-shanghai-ipo-prospectus-shows-2026-05-13/ ; https://restofworld.org/2026/china-robot-dog-maker-unitree-ipo/,Active. IPO target is not the same as historical funding.,False,1.0
Galbot,China,China,CHN,China / Asia,AI / Robotics,Humanoids & robot foundation models,Software/Hardware: Focused on generalizable physical manipulation. AI calculates physics of unseen objects for successful grasping.,Active,Independent private company,Core physical AI / manipulation and embodied AI,362.0,724.0,724.0,reported_recent_funding_range,Medium-high,2026 large private financing rounds,2026,Yes,https://www.galbot.com,https://www.caixinglobal.com/2026-03-03/chinese-robotics-startup-galbot-raises-25-billion-yuan-in-series-b-round-102293527.html ; https://autonews.gasgoo.com/m/70036590.html,Active.,False,1.0
CloudMinds / Dataa Robotics,China,China,CHN,China / Asia,Cloud Robotics / AI,Industrial robotics & automation,Software: Commercializing the Cloud Brain architecture. Intense AI physics compute is done in the cloud and streamed to robots via 5G.,Active / identity changed,Operating identity appears to be Dataa Robotics / 达闼 after status and branding changes,Cloud robotics / service robots,153.0,610.0,800.0,historical_reported_total_funding_range,Medium,Historical CloudMinds financing; current Dataa Robotics operations,2019-2026,Yes,https://www.dataarobotics.com/en,https://www.dataarobotics.com/en ; https://pitchbook.com/profiles/company/167732-47 ; https://www.robotics247.com/article/cloudminds_raises_more_than_153_million_series_b_plus_funding,Keep as active/status-changed. Original cloudminds.com should not be the primary website.,False,1.0
UBTECH Robotics,China,China,CHN,China / Asia,AI / Kinematics,Humanoids & robot foundation models,Hardware/Software: Mass commercialization of humanoid and service robots utilizing visual-spatial intelligence and dynamic balancing algorithms.,Active public company,Public company,Core physical AI / humanoids and service robots,130.0,530.0,530.0,ipo_and_follow_on_public_financing,Medium-high,2025 share placement plan; 2023 HK IPO,2023-2025,Yes,https://www.ubtrobot.com,https://www.scmp.com/tech/big-tech/article/3246260/chinese-humanoid-robot-maker-ubtech-raises-hk1-billion-hong-kong-ipo ; https://finance.yahoo.com/news/chinese-humanoid-robot-maker-ubtech-093000199.html ; https://www.reuters.com/business/autos-transportation/chinas-ubtech-expands-ev-factory-robotics-with-airbus-deal-2026-01-09/,"Active public company; numeric amount is public financing, not total historical capital.",False,1.0
Fourier Intelligence,China,China,CHN,China / Asia,Biomechanics / AI,Humanoids & robot foundation models,"Hardware/Software: Transitioned from AI medical rehabilitation exoskeletons into general humanoids (GR-1), applying complex physical force-feedback AI.",Active,Independent private company,Rehab robotics plus humanoids,100.0,109.0,120.0,latest_round_or_total_range,Medium-high,2025 Series E nearly 800M yuan,2025,Yes,https://www.fftai.com,https://www.cnmra.com/en/fourier-intelligence-raises-nearly-800-million-yuan-in-series-e-financing/ ; https://humanoidfunding.com/startup/fourier-intelligence/,Active.,False,1.0
MegaRobo,China,China,CHN,China / Asia,Chem / Bio / Robotics,"AI labs, biology & chemistry",Autonomous Labs: Built MegaLab. Fuses physical robotic automation with AI to run millions of closed-loop experiments in life sciences.,Active,Independent private company,Autonomous labs / life-science robotics,300.0,580.0,580.0,reported_total_funding,Medium,2022 $300M Series C,2022,Use caution,https://en.megarobo.com,https://equalocean.com/news/2022062218422 ; https://pitchbook.com/profiles/company/234398-71 ; https://en.megarobo.com/,Active. Website corrected from megarobo.tech to en.megarobo.com.,False,1.0
DP Technology,China,China,CHN,China / Asia,Comp. Chemistry / Physics,"AI labs, biology & chemistry","AI Physics Engine: Uses AI algorithms to simulate quantum mechanics and molecular physics, massively speeding up discovery of batteries and drugs.",Active,Independent private company,AI physics engine / molecular simulation; adjacent physical AI,114.0,214.0,214.0,latest_round_plus_prior_known_rounds_estimate,Medium-high,2025 800M yuan Series C,2025,Yes,https://dp.tech,https://siliconangle.com/2025/12/08/dp-technology-secures-114m-advance-scientific-ai-models/ ; https://www.scmp.com/tech/big-tech/article/3327638/chinese-ai-drug-discovery-start-dp-technology-raises-us114-million-deepen-research ; https://www.thesaasnews.com/news/dp-technology-raises-100-million-in-funding,Active.,False,1.0
XtalPi,China,China,CHN,China / Asia,Quantum Physics / AI,"AI labs, biology & chemistry","AI & Robotics: Uses quantum physics-based AI to design drugs, then physically synthesizes them using a massive fleet of automated wet-labs.",Active public company,Public company,AI-for-science plus lab automation; adjacent-to-core physical AI,115.0,115.0,815.0,ipo_proceeds_with_unverified_historical_private_funding_range,High for IPO proceeds; Low for cumulative high estimate,2024 HKEX IPO,2024,Yes,https://www.xtalpi.com,https://www.xtalpi.com/en/news/xtalpi-officially-lists-on-hkex-as-the-first-ai-drug-r-d-company-in-hong-kong ; https://endpts.com/chinas-xtalpi-raises-115m-in-hong-kong-ipo/,"Active public company. Numeric base is IPO proceeds, not total lifetime funding.",False,1.0
BioMap,China,China,CHN,China / Asia,Synthetic Biology / AI,Humanoids & robot foundation models,"Software: Built xTrimo, a massive cross-modal AI foundation model that understands the physical interactions of proteins and cells.",Active,Private company,AI-for-biology foundation models; adjacent physical AI,100.0,100.0,150.0,original_estimate_not_reverified,Low,Not reverified,,Yes,https://www.biomap.com,https://www.biomap.com,"Active website observed previously, but funding amount needs manual source audit.",False,1.0
Mech-Mind Robotics,China,China,CHN,China / Asia,3D Vision / Spatial Physics,Autonomous mobility & spatial AI,Software/Hardware: Uses 3D AI vision to give standard industrial arms hand-eye coordination. Calculates physics of chaotic piles for dynamic picking.,Active,Independent private company,Core physical AI / 3D vision for robots,200.0,314.0,314.0,reported_total_funding,Medium,Series C/C+ financings,2021-2025,Use caution,https://www.mech-mind.com,https://www.emo-hannover.de/en/search/?category=exhibitor&id=mech-mind-robotics-technologies-28336795 ; https://www.robotics247.com/article/mech_mind_robotics_raises_155m_siemens_run_sun_partners_100_3d_smart_cameras ; https://pitchbook.com/profiles/company/264650-50,Active.,False,1.0
Geek+,China,China,CHN,China / Asia,Kinematics / Swarm AI,Industrial robotics & automation,"Robotics: Uses AI to orchestrate physical swarms of hundreds of autonomous robots in vast environments, optimizing spatial physics.",Active public company,Public company / HKEX listed,Core physical AI / warehouse robotics,500.0,532.0,532.0,reported_total_funding_plus_public_listing,Medium-high,2025 HKEX listing; earlier Series E1 $100M,2025,Yes,https://www.geekplus.com,https://www.geekplus.com/company/newsroom/geekplus-technology-officially-lists-on-hkex ; https://tracxn.com/d/companies/geekplus/__aWWd8f8Qq9AvMq945PHc4jTEhPDE3wtJIBqIZJ_Q0S0/funding-and-investors ; https://news.crunchbase.com/venture/geek-funding-round-robotics-china/,Active public company.,False,1.0
Hai Robotics,China,China,CHN,China / Asia,Robotics / Mechatronics,Industrial robotics & automation,"Robotics: Pioneers of ACR systems. AI manages complex 3D physical navigation, gravity mapping, and autonomous high-shelf manipulation.",Active,Independent private company,Core physical AI / warehouse robotics,215.0,575.0,647.0,reported_total_funding_range,Medium,Series E / multiple rounds,2022-2025,Use caution,https://www.hairobotics.com,https://www.36kr.com/p/2944517243376390 ; https://tracxn.com/d/companies/hai-robotics/__YsF8v7IV2Vpsx1bIr8Ha3C1SzkOEyObqdqaVtup-ICQ/funding-and-investors ; https://www.freightwaves.com/news/hai-robotics-hauls-in-100m-in-financing-round,Active; funding estimates vary substantially.,False,1.0
Momenta,China,China,CHN,China / Asia,Spatial AI / Physics,Autonomous mobility & spatial AI,"Software: Brain for autonomous driving. Uses deep learning to process mass, velocity, friction, and spatial dynamics to prevent crashes.",Active,Independent private company,Core physical AI / autonomous driving software,1200.0,1200.0,1200.0,reported_total_funding,Medium,Earlier $500M Series C; recent valuation/fundraising reports,2021-2025,Use caution,https://www.momenta.ai,https://www.momenta.ai/en/news/momenta-completes-series-c-financing ; https://app.dealroom.co/companies/momenta_ai ; https://cnevpost.com/2025/09/10/momenta-seeking-new-funding-at-over-5b-valuation-bloomberg/,Active.,False,1.0
Pony.ai,China/USA,China; United States,CHN; USA,Other / mixed,Spatial AI,Autonomous mobility & spatial AI,"Software/Hardware: Applies physical intelligence to L4 autonomous robotaxis and heavy freight trucks, requiring extreme AI physics calculations.",Active public company,Public company,Core physical AI / autonomous vehicles,1190.0,1190.0,1300.0,reported_total_funding_plus_public_listing,Medium-high,2024 public listing/post-IPO financing,2024,Yes,https://www.pony.ai,https://tracxn.com/d/companies/pony.ai/__fY9dcxUw9gW-Rj3bfdu_JbdQwwz4P5VdxPRYrtq5NaM/funding-and-investors ; https://forgeglobal.com/pony-ai_stock/ ; https://www.pony.ai/,Active public company.,True,1.0
Horizon Robotics,China,China,CHN,China / Asia,Silicon / Spatial AI,AI chips & edge infrastructure,Hardware: Designs specialized AI processors (BPU) required to run physical intelligence algorithms natively inside moving vehicles and robots.,Active public company,Public company,AI chips for physical intelligence in vehicles/robots,696.0,696.0,3000.0,ipo_proceeds_with_public_market_context,High for IPO proceeds; Low for high range,2024 HK IPO,2024,Yes,https://www.horizon.auto,https://www.reuters.com/markets/deals/horizon-robotics-shares-surge-hong-kong-debut-after-696-mln-ipo-2024-10-24/ ; https://en.horizon.cc/investor-relations,Active public company. Website corrected from horizon.ai to horizon.auto / horizon.cc investor site.,False,1.0
Sanctuary AI,Canada,Canada,CAN,Canada,Embodied AI,Humanoids & robot foundation models,Hardware/Software: Building Phoenix humanoid robot powered by Carbon AI control system. Focuses on high-fidelity AI physical hand manipulation.,Active,Independent private company,Core physical AI / humanoids,58.5,100.0,100.0,reported_total_funding,Medium,Series A and later reported rounds,2022-2025,Use caution,https://sanctuary.ai,https://sanctuary.ai/news/sanctuary-ai-raises-c75-5-million-series-a ; https://tracxn.com/d/companies/sanctuary-ai/__aWWd8f8Qq9AvMq945PHc4jTEhPDE3wtJIBqIZJ_Q0S0/funding-and-investors,Active.,False,1.0
Waabi,Canada,Canada,CAN,Canada,Spatial AI / Physics,Autonomous mobility & spatial AI,"Software: Built Waabi World, an ultra-high-fidelity, AI-driven physics simulator to train autonomous trucks without risking real-world crashes.",Active,Independent private company,Core physical AI / autonomous driving and simulation,1000.0,1280.0,1280.0,reported_total_funding,High,2026 $1B funding / $750M Series C and Uber partnership,2026,Use caution,https://waabi.ai,https://waabi.ai/insights/waabi-secures-1-billion-in-new-funding-to-lead-physical-ai-revolution ; https://www.trendingtopics.eu/waabi-raises-1-billion-25000-robotaxis-planned-for-uber/,Active.,False,1.0
Deep Genomics,Canada,Canada,CAN,Canada,RNA Bio / AI,"AI labs, biology & chemistry",AI for Science: Uses physical intelligence models to understand how RNA physics and transcriptomics work to find biological targets.,Active,Independent private company,AI-for-RNA biology; adjacent physical AI,180.0,238.0,241.0,reported_total_funding,Medium-high,2021 $180M Series C; later total estimates,2021,Use caution,https://www.deepgenomics.com,https://www.deepgenomics.com/wp-content/uploads/2021/07/Deep-Genomics-Series-C-Press-Release.pdf ; https://tracxn.com/d/companies/deep-genomics/__QFlVYJKGHoiFhjDKLVpiQNLczE8tQmr__p6QV1ISkYE/funding-and-investors ; https://pitchbook.com/profiles/company/104826-52,"Active; physical-AI fit is AI-for-science, not embodied robotics.",False,1.0
Skydio,USA,United States,USA,US,Spatial AI / Aerospace,Aerospace & defense autonomy,"Hardware/Software: Uses visual-spatial AI and deep learning to give drones physical autonomy in complex, GPS-denied environments.",Active,Independent private company,Core physical AI / autonomous drones,672.0,951.0,951.0,reported_total_funding,Medium-high,2026 $110M Series F,2026,Use caution,https://www.skydio.com,https://www.skydio.com/blog/skydio-closes-110m-series-f-funding-round-to-accelerate-its-platform-for-scaling-drone-operations ; https://www.skydio.com/blog/skydio-raises-230m-series-e-funding-round ; https://tectonic.co/companies/skydio,Active.,False,1.0
Nuro,USA,United States,USA,US,Robotics / Spatial AI,Autonomous mobility & spatial AI,"Hardware/Software: Built zero-occupant robotic vehicles. Uses physical intelligence to navigate streets, calculating friction and pedestrian dynamics.",Active,Independent private company,Core physical AI / autonomous delivery and vehicle autonomy,203.0,2340.0,2840.0,reported_total_funding_plus_recent_commitment_context,Medium-high,2025 $203M round; 2026 Uber commitment context,2025-2026,Yes,https://www.nuro.ai,https://www.reuters.com/business/autos-transportation/uber-boosts-nuro-stake-with-500-million-investment-source-says-2026-05-23/ ; https://www.reuters.com/business/autos-transportation/autonomous-driving-startup-nuro-raises-203-million-6-billion-valuation-2025-04-09/ ; https://tracxn.com/d/companies/nuro/__rVxmxoegwhaAps2MTJm2ieeVBR4VkO2xnSQ-GEBlOKk/funding-and-investors,Active.,False,1.0
Locus Robotics,USA,United States,USA,US,Mechatronics / Swarm AI,Industrial robotics & automation,"Hardware/Software: AI that directs swarms of physical robots in highly chaotic warehouse environments, calculating spatial physics in real-time.",Active,Independent private company,Core physical AI / warehouse robotics,416.0,438.0,438.0,reported_total_funding,Medium-high,2022 Series F about $117M,2022,Use caution,https://locusrobotics.com,https://www.clay.com/dossier/locus-robotics-funding ; https://tracxn.com/d/companies/locus-robotics/__hpsCbsI-a5WLTalJbFLGMes5XJws3yOH0xbWfyihJXU/funding-and-investors,Active.,False,1.0
Wayve,UK,United Kingdom,GBR,EU / Europe,Embodied AI / Auto,Humanoids & robot foundation models,Software: End-to-End Embodied AI. AI learns physical driving dynamics purely through observation and deep learning rather than hard-coded rules.,Active,Independent private company,Core physical AI / embodied AI for autonomous driving,1500.0,2800.0,2800.0,reported_total_funding,High,2026 $1.2B Series D / $1.5B package,2026,Use caution,https://wayve.ai,https://wayve.ai/press/series-d/ ; https://www.reuters.com/business/autos-transportation/uk-self-driving-startup-wayve-valued-86-billion-fundraising-2026-02-25/,Active.,False,1.0
Exotec,France,France,FRA,EU / Europe,Spatial Robotics / AI,Autonomous mobility & spatial AI,"Hardware/Software: Skypod robots use AI physical intelligence to literally climb vertical shelves, turning 2D floor physics into 3D volume usage.",Active,Independent private company,Core physical AI / warehouse robotics,335.0,477.0,477.0,reported_total_funding,Medium-high,2022 $335M Series D,2022,Use caution,https://www.exotec.com,https://www.exotec.com/news/exotec-raises-335m-series-d-at-2b-valuation/ ; https://startupintros.com/exotec/ ; https://tracxn.com/d/companies/exotec/__E4PzOqE1D7izIFacFvCEpiT4xoCcU0PPTx-x8GLQiO0/funding-and-investors,Active.,False,1.0
Agile Robots,Germany,Germany,DEU,EU / Europe,Mechatronics / Kinematics,Industrial robotics & automation,"Hardware/Software: Combines AI with advanced force-torque sensors, allowing robotic arms to safely feel and assemble objects with extreme precision.",Active,Independent private company,Core physical AI / robot arms and force control,220.0,250.0,250.0,reported_total_funding,Medium-high,2021 $220M Series C,2021,Use caution,https://www.agile-robots.com,https://www.agile-robots.com/news-and-events/news/series-c ; https://tracxn.com/d/companies/agile-robots/__tOb-zFYz6Ivlgv5UklO0cMr7XuNeNAkpaoWLEemxKjI/funding-and-investors,Active.,False,1.0
InstaDeep,UK/France,United Kingdom; France,GBR; FRA,EU / Europe,AI / Quantum Chem,"AI labs, biology & chemistry","AI for Science: Uses reinforcement learning to solve complex physical problems, from routing trains to discovering new proteins (Acq. by BioNTech).",Active subsidiary / acquired,Acquired by BioNTech; operates as subsidiary/brand,AI-for-science / optimization; adjacent physical AI,500.0,680.0,680.0,acquisition_consideration,High,2023 BioNTech acquisition,2023,Yes,https://www.instadeep.com,https://instadeep.com/2023/07/biontech-completes-acquisition-of-instadeep/ ; https://www.ft.com/content/6b7cfcfd-8606-4c7c-8ee8-f719f1d8a46a ; https://techcrunch.com/2023/01/10/biontech-insta-deep/,"Keep active, but not independent.",True,1.0
Tractable,UK,United Kingdom,GBR,EU / Europe,Spatial Vision / AI,Autonomous mobility & spatial AI,Software: Uses AI computer vision to assess physical damage to vehicles/property by understanding the physical deformation of materials from photos.,Active,Independent private company,AI vision for physical damage; adjacent physical AI,165.0,184.9,185.0,reported_total_funding,Medium-high,2023 $65M Series E,2023,Use caution,https://tractable.ai,https://www.clay.com/dossier/tractable-funding ; https://o.parsers.vc/startup/tractable.ai/ ; https://tractable.ai,Active; adjacent physical AI rather than robotics.,False,1.0
GreyOrange,India/USA,India; United States,IND; USA,Other / mixed,Swarm Robotics / AI,Warehouse & logistics robotics,"Hardware/Software: AI GreyMatter serves as a brain for fleets of physical robots, dynamically calculating the most efficient physical routing in real-time.",Active,Independent private company,Core physical AI / warehouse robotics and orchestration,400.0,539.5,540.0,reported_total_funding,Medium,2023 $110M-$140M growth/Series D financing,2023,Use caution,https://www.greyorange.com,https://startupintros.com/greyorange/ ; https://www.greyorange.com/newsroom/greyorange-raises-110-million-growth-financing/ ; https://entrackr.com/2023/12/greyorange-raises-135-mn-in-series-d-round/,Active.,True,1.0
ideaForge,India,India,IND,China / Asia,Aerospace / Spatial AI,Aerospace & defense autonomy,"Hardware/Software: Integrates spatial AI for autonomous navigation, physical target tracking, and mapping in rugged, high-altitude terrain.",Active public company,Public company,Core physical AI / drones,35.0,69.0,104.0,ipo_proceeds_plus_prior_vc_context,Medium-high,2023 IPO,2023,Yes,https://www.ideaforge.co.in,https://www.chittorgarh.com/ipo/ideaforge-technology-ipo/1452/ ; https://www.qualcommventures.com/news/the-future-of-ideaforge/ ; https://entrackr.com/2023/06/ideaforge-raises-rs-255-cr-from-anchor-investors-ahead-of-ipo/,Active public company.,False,1.0
Ather Energy,India,India,IND,China / Asia,EV Physics / AI,"AI labs, biology & chemistry",Hardware/Software: Uses physical intelligence algorithms to optimize battery electrochemistry and vehicle physics in extreme heat environments.,Active public company,Public company,EV / battery management / vehicle intelligence; adjacent physical AI,502.0,854.0,854.0,reported_total_funding_plus_ipo_proceeds,Medium-high,2025 IPO about $350M,2025,Yes,https://www.atherenergy.com,https://www.reuters.com/markets/deals/indias-ather-energy-targets-14-bln-valuation-ipo-2025-04-21/ ; https://forgeglobal.com/ather-energy_stock/ ; https://tracxn.com/d/companies/ather-energy/__LkmVjs8MifbvpWChICN0Zg2APs4JTP2T9aKnBQq3_Ao/funding-and-investors,Active public company; adjacent physical AI rather than embodied robotics.,False,1.0
