paper_id,paper_or_discovery,field_or_platform,origin_country,origin_country_iso3,beneficiary_country,beneficiary_country_iso3,beneficiary_role,value_capture_channel,scenario,enabled_market_revenue_usd,paper_attribution_factor,country_capture_share,country_revenue_capture_usd,role_margin,country_profit_proxy_usd,value_type,estimate_basis,confidence,evidence_urls,notes,assumption_status,partial_country_benefit_layer
22,22.8% efficient silicon solar cell / passivated emitter rear cell architecture,PERC silicon solar cells,Australia,AUS,China,CHN,manufacturing,Manufacturing capacity; exports; domestic installations; equipment supply,base,,,0.7,,,,value_added,IEA says China’s share exceeds 80% across all solar-panel manufacturing stages and will approach 95% for key building blocks under capacity under construction.,High,https://www.iea.org/reports/solar-pv-global-supply-chains/executive-summary,Paper originated in Australia; China captured much of PERC-era PV manufacturing value.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
22,22.8% efficient silicon solar cell / passivated emitter rear cell architecture,PERC silicon solar cells,Australia,AUS,China,CHN,manufacturing,Manufacturing capacity; exports; domestic installations; equipment supply,high,,,0.85,,,,value_added,IEA says China’s share exceeds 80% across all solar-panel manufacturing stages and will approach 95% for key building blocks under capacity under construction.,High,https://www.iea.org/reports/solar-pv-global-supply-chains/executive-summary,Paper originated in Australia; China captured much of PERC-era PV manufacturing value.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
24,Near Shannon limit error-correcting coding and decoding: Turbo-codes,Turbo codes / channel coding,France,FRA,China,CHN,standards_ecosystem,Network infrastructure; standards implementation; mobile services; cloud/IoT applications,low,,,0.1,,,,value_added,China had 4.838 million 5G base stations and about US$250.8B telecom business revenue in 2025; China also declared 42% of global 5G standard-essential patents.,Medium,https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html; https://www.gsma.com/mobileeconomy/china/,Turbo codes are earlier-generation channel coding; China benefit is via telecom platform adoption rather than paper-specific royalties.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
24,Near Shannon limit error-correcting coding and decoding: Turbo-codes,Turbo codes / channel coding,France,FRA,China,CHN,standards_ecosystem,Network infrastructure; standards implementation; mobile services; cloud/IoT applications,base,,,0.2,,,,value_added,China had 4.838 million 5G base stations and about US$250.8B telecom business revenue in 2025; China also declared 42% of global 5G standard-essential patents.,Medium,https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html; https://www.gsma.com/mobileeconomy/china/,Turbo codes are earlier-generation channel coding; China benefit is via telecom platform adoption rather than paper-specific royalties.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
24,Near Shannon limit error-correcting coding and decoding: Turbo-codes,Turbo codes / channel coding,France,FRA,China,CHN,standards_ecosystem,Network infrastructure; standards implementation; mobile services; cloud/IoT applications,high,,,0.35,,,,value_added,China had 4.838 million 5G base stations and about US$250.8B telecom business revenue in 2025; China also declared 42% of global 5G standard-essential patents.,Medium,https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html; https://www.gsma.com/mobileeconomy/china/,Turbo codes are earlier-generation channel coding; China benefit is via telecom platform adoption rather than paper-specific royalties.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
25,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,United States,USA,China,CHN,manufacturing,Electronics manufacturing; camera module integration; phones; automotive/IoT vision,low,,,0.15,,,,value_added,China benefits through large-scale electronics and camera-module supply chains; Yole notes China’s share rise in the CMOS image sensor landscape.,Medium,https://www.yolegroup.com/product/report/status-of-the-cmos-image-sensor-industry-2025/,"Core image-sensor IP and high-end sensor profits remain globally distributed, especially Japan, US, Korea, Europe and Taiwan-linked supply chains.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
25,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,United States,USA,China,CHN,manufacturing,Electronics manufacturing; camera module integration; phones; automotive/IoT vision,base,,,0.25,,,,value_added,China benefits through large-scale electronics and camera-module supply chains; Yole notes China’s share rise in the CMOS image sensor landscape.,Medium,https://www.yolegroup.com/product/report/status-of-the-cmos-image-sensor-industry-2025/,"Core image-sensor IP and high-end sensor profits remain globally distributed, especially Japan, US, Korea, Europe and Taiwan-linked supply chains.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
25,Active pixel sensors: are CCDs dinosaurs?,CMOS active-pixel image sensors,United States,USA,China,CHN,manufacturing,Electronics manufacturing; camera module integration; phones; automotive/IoT vision,high,,,0.4,,,,value_added,China benefits through large-scale electronics and camera-module supply chains; Yole notes China’s share rise in the CMOS image sensor landscape.,Medium,https://www.yolegroup.com/product/report/status-of-the-cmos-image-sensor-industry-2025/,"Core image-sensor IP and high-end sensor profits remain globally distributed, especially Japan, US, Korea, Europe and Taiwan-linked supply chains.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
26,Candela-class high-brightness InGaN/AlGaN double-heterostructure blue-light-emitting diodes,High-brightness blue GaN LED,Japan,JPN,China,CHN,manufacturing,Lighting product manufacturing; exports; domestic efficiency mandates; device integration,low,,,0.25,,,,value_added,China is a large LED lighting market and production base; market sources estimate major China participation in LED lighting demand and supply.,Medium,https://www.mordorintelligence.com/industry-reports/china-led-lighting-market; https://www.gminsights.com/industry-analysis/led-lighting-market,"Blue LED breakthrough originated in Japan; value capture is shared with Japan, Korea, Taiwan, US/EU brands and China manufacturing.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
26,Candela-class high-brightness InGaN/AlGaN double-heterostructure blue-light-emitting diodes,High-brightness blue GaN LED,Japan,JPN,China,CHN,manufacturing,Lighting product manufacturing; exports; domestic efficiency mandates; device integration,base,,,0.4,,,,value_added,China is a large LED lighting market and production base; market sources estimate major China participation in LED lighting demand and supply.,Medium,https://www.mordorintelligence.com/industry-reports/china-led-lighting-market; https://www.gminsights.com/industry-analysis/led-lighting-market,"Blue LED breakthrough originated in Japan; value capture is shared with Japan, Korea, Taiwan, US/EU brands and China manufacturing.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
26,Candela-class high-brightness InGaN/AlGaN double-heterostructure blue-light-emitting diodes,High-brightness blue GaN LED,Japan,JPN,China,CHN,manufacturing,Lighting product manufacturing; exports; domestic efficiency mandates; device integration,high,,,0.6,,,,value_added,China is a large LED lighting market and production base; market sources estimate major China participation in LED lighting demand and supply.,Medium,https://www.mordorintelligence.com/industry-reports/china-led-lighting-market; https://www.gminsights.com/industry-analysis/led-lighting-market,"Blue LED breakthrough originated in Japan; value capture is shared with Japan, Korea, Taiwan, US/EU brands and China manufacturing.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
28,Layered space-time architecture for wireless communication in a fading environment when using multi-element antennas,MIMO / BLAST layered space-time architecture,United States,USA,China,CHN,standards_ecosystem,Network equipment; mobile services; device supply chain; industrial internet,low,,,0.15,,,,value_added,"MIMO is a central wireless-network technology; China had 4.838 million 5G base stations, 1.204 billion 5G subscriptions, and 5G/industrial internet coverage across major categories by end-2025.",Medium,https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html; https://www.gsma.com/mobileeconomy/china/,"Value also captured by US, Europe, Korea, Japan, India and global operators.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
28,Layered space-time architecture for wireless communication in a fading environment when using multi-element antennas,MIMO / BLAST layered space-time architecture,United States,USA,China,CHN,standards_ecosystem,Network equipment; mobile services; device supply chain; industrial internet,base,,,0.3,,,,value_added,"MIMO is a central wireless-network technology; China had 4.838 million 5G base stations, 1.204 billion 5G subscriptions, and 5G/industrial internet coverage across major categories by end-2025.",Medium,https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html; https://www.gsma.com/mobileeconomy/china/,"Value also captured by US, Europe, Korea, Japan, India and global operators.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
28,Layered space-time architecture for wireless communication in a fading environment when using multi-element antennas,MIMO / BLAST layered space-time architecture,United States,USA,China,CHN,standards_ecosystem,Network equipment; mobile services; device supply chain; industrial internet,high,,,0.45,,,,value_added,"MIMO is a central wireless-network technology; China had 4.838 million 5G base stations, 1.204 billion 5G subscriptions, and 5G/industrial internet coverage across major categories by end-2025.",Medium,https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html; https://www.gsma.com/mobileeconomy/china/,"Value also captured by US, Europe, Korea, Japan, India and global operators.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
31,Phospho-olivines as positive-electrode materials for rechargeable lithium batteries,Lithium-ion batteries / LFP cathode,United States,USA,China,CHN,manufacturing,Battery supply chain; LFP cathode scaling; EV exports; stationary storage,low,,,0.45,,,,value_added,"China is the major global production hub for EV batteries and active materials; IEA reports over 80% battery cell production, about 85% cathode active material, and over 90% anode active material in 2025.",High,https://www.iea.org/reports/global-ev-outlook-2026/manufacturing-and-trade; https://www.iea.org/reports/energy-technology-perspectives-2026/supply-chain-risks-and-industrial-competitiveness,"LFP commercialization is especially associated with Chinese battery and EV scaling, though origin paper was from the US.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
31,Phospho-olivines as positive-electrode materials for rechargeable lithium batteries,Lithium-ion batteries / LFP cathode,United States,USA,China,CHN,manufacturing,Battery supply chain; LFP cathode scaling; EV exports; stationary storage,base,,,0.6,,,,value_added,"China is the major global production hub for EV batteries and active materials; IEA reports over 80% battery cell production, about 85% cathode active material, and over 90% anode active material in 2025.",High,https://www.iea.org/reports/global-ev-outlook-2026/manufacturing-and-trade; https://www.iea.org/reports/energy-technology-perspectives-2026/supply-chain-risks-and-industrial-competitiveness,"LFP commercialization is especially associated with Chinese battery and EV scaling, though origin paper was from the US.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
31,Phospho-olivines as positive-electrode materials for rechargeable lithium batteries,Lithium-ion batteries / LFP cathode,United States,USA,China,CHN,manufacturing,Battery supply chain; LFP cathode scaling; EV exports; stationary storage,high,,,0.75,,,,value_added,"China is the major global production hub for EV batteries and active materials; IEA reports over 80% battery cell production, about 85% cathode active material, and over 90% anode active material in 2025.",High,https://www.iea.org/reports/global-ev-outlook-2026/manufacturing-and-trade; https://www.iea.org/reports/energy-technology-perspectives-2026/supply-chain-risks-and-industrial-competitiveness,"LFP commercialization is especially associated with Chinese battery and EV scaling, though origin paper was from the US.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
38,The Google File System,Google File System / cloud data infrastructure,United States,USA,China,CHN,cloud_compute,Cloud services; big data infrastructure; Internet platforms; data-center operations,low,,,0.1,,,,value_added,"China telecom/digital infrastructure data show cloud computing, big data, IoT and data centers as significant emerging businesses; Google-scale architecture influenced global cloud design patterns.",Medium,https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,Indirect ecosystem influence; not a direct China implementation of Google File System.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
38,The Google File System,Google File System / cloud data infrastructure,United States,USA,China,CHN,cloud_compute,Cloud services; big data infrastructure; Internet platforms; data-center operations,base,,,0.2,,,,value_added,"China telecom/digital infrastructure data show cloud computing, big data, IoT and data centers as significant emerging businesses; Google-scale architecture influenced global cloud design patterns.",Medium,https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,Indirect ecosystem influence; not a direct China implementation of Google File System.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
38,The Google File System,Google File System / cloud data infrastructure,United States,USA,China,CHN,cloud_compute,Cloud services; big data infrastructure; Internet platforms; data-center operations,high,,,0.35,,,,value_added,"China telecom/digital infrastructure data show cloud computing, big data, IoT and data centers as significant emerging businesses; Google-scale architecture influenced global cloud design patterns.",Medium,https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,Indirect ecosystem influence; not a direct China implementation of Google File System.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
39,MapReduce: simplified data processing on large clusters,MapReduce / big data processing,United States,USA,China,CHN,cloud_compute,Cloud analytics; data pipelines; Internet-scale computation; data centers,low,,,0.1,,,,value_added,MapReduce influenced Hadoop and cloud analytics worldwide; China’s digital infrastructure and cloud/big-data businesses are significant domestic value-capture channels.,Medium,https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,"Indirect platform influence, not paper-specific revenue.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
39,MapReduce: simplified data processing on large clusters,MapReduce / big data processing,United States,USA,China,CHN,cloud_compute,Cloud analytics; data pipelines; Internet-scale computation; data centers,base,,,0.2,,,,value_added,MapReduce influenced Hadoop and cloud analytics worldwide; China’s digital infrastructure and cloud/big-data businesses are significant domestic value-capture channels.,Medium,https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,"Indirect platform influence, not paper-specific revenue.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
39,MapReduce: simplified data processing on large clusters,MapReduce / big data processing,United States,USA,China,CHN,cloud_compute,Cloud analytics; data pipelines; Internet-scale computation; data centers,high,,,0.35,,,,value_added,MapReduce influenced Hadoop and cloud analytics worldwide; China’s digital infrastructure and cloud/big-data businesses are significant domestic value-capture channels.,Medium,https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,"Indirect platform influence, not paper-specific revenue.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
41,Bigtable: a distributed storage system for structured data,Bigtable / NoSQL data systems,United States,USA,China,CHN,cloud_compute,Cloud database services; data-center platforms; Internet services,low,,,0.1,,,,value_added,"Bigtable influenced NoSQL/cloud storage systems; China’s data-center, cloud and big-data ecosystem is a significant beneficiary channel.",Medium,https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,Indirect influence; specific database products should be audited separately.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
41,Bigtable: a distributed storage system for structured data,Bigtable / NoSQL data systems,United States,USA,China,CHN,cloud_compute,Cloud database services; data-center platforms; Internet services,base,,,0.2,,,,value_added,"Bigtable influenced NoSQL/cloud storage systems; China’s data-center, cloud and big-data ecosystem is a significant beneficiary channel.",Medium,https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,Indirect influence; specific database products should be audited separately.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
41,Bigtable: a distributed storage system for structured data,Bigtable / NoSQL data systems,United States,USA,China,CHN,cloud_compute,Cloud database services; data-center platforms; Internet services,high,,,0.35,,,,value_added,"Bigtable influenced NoSQL/cloud storage systems; China’s data-center, cloud and big-data ecosystem is a significant beneficiary channel.",Medium,https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,Indirect influence; specific database products should be audited separately.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
47,ImageNet classification with deep convolutional neural networks / AlexNet,Deep learning / computer vision,Canada,CAN,China,CHN,manufacturing,AI software; vision systems; edge AI; camera ecosystems; industrial automation,low,,,0.15,,,,value_added,"Stanford AI Index reports China leads in AI publication volume, citations and patent grants; China also has very large deployment channels in manufacturing and digital infrastructure.",Medium,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development; https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years; https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,Revenue capture is global and difficult to isolate; US cloud/GPU firms capture large shares too.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
47,ImageNet classification with deep convolutional neural networks / AlexNet,Deep learning / computer vision,Canada,CAN,China,CHN,manufacturing,AI software; vision systems; edge AI; camera ecosystems; industrial automation,base,,,0.3,,,,value_added,"Stanford AI Index reports China leads in AI publication volume, citations and patent grants; China also has very large deployment channels in manufacturing and digital infrastructure.",Medium,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development; https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years; https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,Revenue capture is global and difficult to isolate; US cloud/GPU firms capture large shares too.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
47,ImageNet classification with deep convolutional neural networks / AlexNet,Deep learning / computer vision,Canada,CAN,China,CHN,manufacturing,AI software; vision systems; edge AI; camera ecosystems; industrial automation,high,,,0.45,,,,value_added,"Stanford AI Index reports China leads in AI publication volume, citations and patent grants; China also has very large deployment channels in manufacturing and digital infrastructure.",Medium,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development; https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years; https://english.www.gov.cn/archive/statistics/202601/28/content_WS6979f123c6d00ca5f9a08ce7.html,Revenue capture is global and difficult to isolate; US cloud/GPU firms capture large shares too.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
48,Deep residual learning for image recognition / ResNet,Residual networks / computer vision,China; United States,CHN; USA,China,CHN,manufacturing,Research leadership; AI software; edge vision; industrial automation; camera/phone ecosystems,low,,,0.2,,,,value_added,"ResNet originated at Microsoft Research Asia in Beijing; Stanford AI Index reports China leads in AI publication volume, citations and patent grants.",Medium-high,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,"This row is both China-origin-linked and China-beneficiary-linked; Microsoft is a US-headquartered firm, so corporate value capture differs from location of research.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
48,Deep residual learning for image recognition / ResNet,Residual networks / computer vision,China; United States,CHN; USA,China,CHN,manufacturing,Research leadership; AI software; edge vision; industrial automation; camera/phone ecosystems,base,,,0.35,,,,value_added,"ResNet originated at Microsoft Research Asia in Beijing; Stanford AI Index reports China leads in AI publication volume, citations and patent grants.",Medium-high,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,"This row is both China-origin-linked and China-beneficiary-linked; Microsoft is a US-headquartered firm, so corporate value capture differs from location of research.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
48,Deep residual learning for image recognition / ResNet,Residual networks / computer vision,China; United States,CHN; USA,China,CHN,manufacturing,Research leadership; AI software; edge vision; industrial automation; camera/phone ecosystems,high,,,0.55,,,,value_added,"ResNet originated at Microsoft Research Asia in Beijing; Stanford AI Index reports China leads in AI publication volume, citations and patent grants.",Medium-high,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,"This row is both China-origin-linked and China-beneficiary-linked; Microsoft is a US-headquartered firm, so corporate value capture differs from location of research.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
49,"You Only Look Once: unified, real-time object detection",YOLO real-time object detection,United States,USA,China,CHN,manufacturing,Edge AI; robotics; smart manufacturing; video analytics; automotive perception,low,,,0.2,,,,value_added,China is the largest industrial-robot market and a major AI research/deployment country; YOLO-style detection is widely used in edge/computer-vision deployments.,Medium,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development; https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,Open-source and model-family diffusion make revenue attribution diffuse.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
49,"You Only Look Once: unified, real-time object detection",YOLO real-time object detection,United States,USA,China,CHN,manufacturing,Edge AI; robotics; smart manufacturing; video analytics; automotive perception,base,,,0.35,,,,value_added,China is the largest industrial-robot market and a major AI research/deployment country; YOLO-style detection is widely used in edge/computer-vision deployments.,Medium,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development; https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,Open-source and model-family diffusion make revenue attribution diffuse.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
49,"You Only Look Once: unified, real-time object detection",YOLO real-time object detection,United States,USA,China,CHN,manufacturing,Edge AI; robotics; smart manufacturing; video analytics; automotive perception,high,,,0.55,,,,value_added,China is the largest industrial-robot market and a major AI research/deployment country; YOLO-style detection is widely used in edge/computer-vision deployments.,Medium,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development; https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,Open-source and model-family diffusion make revenue attribution diffuse.,Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
50,Attention Is All You Need,Transformers / foundation models,United States,USA,China,CHN,cloud_compute,Foundation models; AI apps; cloud inference; data centers; enterprise productivity tools,low,,,0.15,,,,value_added,"Stanford AI Index reports China leads AI publications, citations and patent grants, while the US leads notable model development; China is therefore a major beneficiary but not sole capturer.",Medium,https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development,"US firms, Taiwan semiconductor manufacturing, Korea memory, and global cloud ecosystems capture large shares too.",Preliminary directional estimate; not audited; refine with paper-specific market revenue and country value-added data.,True
