ID,Confidence_tier,Broad_area,Field_or_platform,Paper_or_discovery,Country_or_countries,Institution_at_publication,Authors,Year,DOI_or_link,Public_or_private,Organization_type,Billionaire_rationale,Notes
16,High-confidence,Biology / Oncology,HER2 biomarker and targeted therapy,Human breast cancer: correlation of relapse and survival with amplification of the HER-2/neu oncogene,USA,UCLA; Genentech; collaborators,Dennis Slamon; Geoffrey Clark; Steven Wong; Wendy Levin; Axel Ullrich; William McGuire,1987,https://doi.org/10.1126/science.3798106,Mixed,Public university plus private company,"HER2 biology enabled Herceptin and later HER2-targeted oncology, creating multi-billion-dollar annual drug revenues.",Biomarker-to-drug platform.
17,High-confidence,Biology / Pharma,GLP-1 incretin biology / diabetes and obesity medicines,GLP-1 incretin biology papers enabling GLP-1 receptor agonists,USA,Harvard/Massachusetts General Hospital/Joslin ecosystem,Svetlana Mojsov; Joel Habener; Daniel Drucker; collaborators,1987,https://doi.org/10.1172/JCI112855; https://doi.org/10.1073/pnas.84.10.3434,Mixed,Academic and nonprofit medical research,GLP-1 biology underpins blockbuster diabetes and obesity drugs such as semaglutide products.,Paper family rather than one isolated paper.
18,High-confidence,Engineering / Telecommunications,Erbium-doped fiber amplifier / optical networks,Low-noise erbium-doped fibre amplifier operating at 1.54 micrometre,UK,University of Southampton,R. J. Mears; L. Reekie; I. M. Jauncey; D. N. Payne,1987,https://doi.org/10.1049/el:19870719,Public,Public university,EDFAs became core technology for long-haul optical fiber networks and Internet backbones.,"Infrastructure-platform revenue, not single-product revenue."
19,High-confidence,Materials Science / Displays,OLED displays / organic electronics,Organic electroluminescent diodes,USA,Eastman Kodak,Ching W. Tang; Steven A. VanSlyke,1987,https://doi.org/10.1063/1.98799,Private,Private company,"This paper launched practical OLED displays used in phones, TVs, wearables, and lighting/display products.",Clear materials-to-product platform.
20,High-confidence,Engineering / Agricultural Biotechnology,Bt insect-resistant transgenic crops,Transgenic plants protected from insect attack,Belgium,Plant Genetic Systems,Marc Vaeck; An Reynaerts; Herman Hofte; Serge Jansens; Marc De Beuckeleer; Celestine Dean; Maria Zabeau; Marc Van Montagu; Jan Leemans,1987,https://doi.org/10.1038/328033a0,Private,Private company,Bt crops became one of the major genetically modified crop platforms with large seed and crop-protection revenues.,Platform link to GM crop commercialization.
21,High-confidence,Physics / Spintronics,Giant magnetoresistance / data storage,Giant magnetoresistance of (001)Fe/(001)Cr magnetic superlattices,France,CNRS; Universite Paris-Sud,M. N. Baibich; J. M. Broto; Albert Fert; F. Nguyen Van Dau; F. Petroff; P. Etienne; G. Creuzet; A. Friederich; J. Chazelas,1988,https://doi.org/10.1103/PhysRevLett.61.2472,Public,Public research institutions,GMR revolutionized hard-disk read heads and enabled major increases in magnetic storage density.,Major physics-to-hardware commercialization case.
22,High-confidence,Engineering / Solar Energy,PERC silicon solar cells,22.8% efficient silicon solar cell / passivated emitter rear cell architecture,Australia,University of New South Wales,Andrew Blakers; Aihua Wang; A. M. Milne; Jianhua Zhao; Martin A. Green,1989,https://doi.org/10.1063/1.101596,Public,Public university,PERC became a dominant commercial silicon solar-cell architecture and helped underpin modern PV manufacturing.,Commercial impact through global solar manufacturing.
23,High-confidence,Biology / Vaccines,HPV virus-like-particle vaccines,Papillomavirus L1 major capsid protein self-assembles into virus-like particles,USA,NIH/NCI; collaborators,Reinhard Kirnbauer; Jian Zhou; John T. Schiller; Douglas R. Lowy; collaborators,1992,https://doi.org/10.1073/pnas.89.24.12180,Mixed,Government lab plus academic collaborators,"HPV VLPs enabled vaccines such as Gardasil and Cervarix, with multi-billion-dollar annual vaccine revenues.",Direct vaccine-platform revenue.
24,High-confidence,Engineering / Telecommunications,Turbo codes / channel coding,Near Shannon limit error-correcting coding and decoding: Turbo-codes,France,Telecom Bretagne / ENST Bretagne,Claude Berrou; Alain Glavieux; Punya Thitimajshima,1993,https://doi.org/10.1109/ICC.1993.397441,Public,Public or state-linked academic engineering school,"Turbo codes were adopted in major wireless and satellite communication standards, enabling higher-capacity digital networks.","Standards impact, revenue distributed across telecom systems."
25,High-confidence,Engineering / Imaging Sensors,CMOS active-pixel image sensors,Active pixel sensors: are CCDs dinosaurs?,USA,NASA Jet Propulsion Laboratory / Caltech,Eric R. Fossum,1993,https://doi.org/10.1117/12.148585,Mixed,Government lab plus private nonprofit contractor,"CMOS image sensors enabled cheap, low-power digital cameras in phones, cars, robotics, security, and IoT.",Clear sensor-platform commercialization.
26,High-confidence,Physics / Optoelectronics,High-brightness blue GaN LED,Candela-class high-brightness InGaN/AlGaN double-heterostructure blue-light-emitting diodes,Japan,Nichia,Shuji Nakamura; Takashi Mukai; Masayuki Senoh,1994,https://doi.org/10.1063/1.111832,Private,Private company,"Blue LEDs enabled white LED lighting and modern LED displays, both very large global markets.",Clear paper-to-hardware platform.
27,High-confidence,Technology / Web,World Wide Web,The World-Wide Web,Switzerland,CERN,Tim Berners-Lee; Robert Cailliau; Ari Luotonen; Henrik Frystyk Nielsen; Arthur Secret,1994,https://doi.org/10.1145/179606.179671,Public,Public intergovernmental research lab,"The Web became the dominant platform for Internet publishing, advertising, e-commerce, SaaS, and cloud services.",The paper followed the invention but documented a trillion-dollar-scale platform.
28,High-confidence,Engineering / Wireless Communications,MIMO / BLAST layered space-time architecture,Layered space-time architecture for wireless communication in a fading environment when using multi-element antennas,USA,Bell Labs / Lucent,Gerard J. Foschini,1996,https://doi.org/10.1002/bltj.2015,Private,Private company research lab,"MIMO became central to Wi-Fi, 4G, and 5G standards and telecom equipment markets.",Standards and infrastructure impact.
29,High-confidence,Biology / Oncology Pharma,BCR-ABL kinase inhibition / imatinib,Effects of a selective inhibitor of the Abl tyrosine kinase on the growth of Bcr-Abl positive cells,USA; Switzerland,OHSU; Ciba-Geigy / Novartis ecosystem,Brian Druker; Thomas Buchdunger; Nicholas Lydon; collaborators,1996,https://doi.org/10.1038/nm0596-561,Mixed,Academic plus private company,This helped establish molecularly targeted cancer therapy; Gleevec/Glivec became a blockbuster drug.,Direct drug-product revenue.
30,High-confidence,Biology / Cancer Immunotherapy,CTLA-4 checkpoint blockade,Enhancement of antitumor immunity by CTLA-4 blockade,USA,"University of California, Berkeley",Dana R. Leach; Matthew F. Krummel; James P. Allison,1996,https://doi.org/10.1126/science.271.5256.1734,Public,Public university,"CTLA-4 blockade helped launch immune-checkpoint oncology, now a very large drug class.",Foundational immuno-oncology paper.
31,High-confidence,Chemistry / Energy Materials,Lithium-ion batteries / LFP cathode,Phospho-olivines as positive-electrode materials for rechargeable lithium batteries,USA,University of Texas at Austin,A. K. Padhi; K. S. Nanjundaswamy; John B. Goodenough,1997,https://doi.org/10.1149/1.1837571,Public,Public university,LiFePO4 became a major low-cost lithium-ion cathode chemistry for EVs and stationary storage.,One of the clearest battery billionaire papers.
32,High-confidence,Technology / Artificial Intelligence,LSTM sequence learning,Long short-term memory,Switzerland; Germany,IDSIA; Technical University of Munich,Sepp Hochreiter; Jurgen Schmidhuber,1997,https://doi.org/10.1162/neco.1997.9.8.1735,Public,Public or nonprofit research institutions,"LSTMs became core to industrial speech, translation, handwriting, and early sequence AI products before transformers.",Revenue attribution is indirect across deployed AI products.
33,High-confidence,Technology / Web Search,PageRank / Google search,The PageRank citation ranking: bringing order to the Web,USA,Stanford University,Lawrence Page; Sergey Brin; Rajeev Motwani; Terry Winograd,1998,http://ilpubs.stanford.edu:8090/422/,Private,Private nonprofit university,PageRank was central to Google's early search advantage and the search advertising platform that followed.,Platform revenue mainly through Google/Alphabet advertising and services.
34,High-confidence,Biology / RNA Therapeutics,RNA interference,Potent and specific genetic interference by double-stranded RNA in Caenorhabditis elegans,USA,Carnegie Institution; University of Massachusetts,Andrew Fire; SiQun Xu; Mary K. Montgomery; Steven A. Kostas; Samuel E. Driver; Craig C. Mello,1998,https://doi.org/10.1038/35888,Mixed,Public and nonprofit research institutions,"RNAi enabled a new therapeutic modality and research-tool ecosystem, including approved RNAi medicines.",Research-tool plus therapeutics platform.
35,High-confidence,Engineering / Semiconductor Devices,FinFET / double-gate MOSFET,FinFET: a self-aligned double-gate MOSFET scalable to 20 nm,USA; Japan,UC Berkeley; Hitachi,Digh Hisamoto; Wen-Chin Lee; Jakub Kedzierski; Hideki Takeuchi; Kazuya Asano; Charles Kuo; Erik Anderson; Tsu-Jae King Liu; Jeffrey Bokor; Chenming Hu,2000,https://doi.org/10.1109/16.887014,Mixed,Public university plus private company,"FinFET/tri-gate devices became the mainstream transistor architecture for advanced CPUs, GPUs, and mobile SoCs.",Core semiconductor device architecture.
36,High-confidence,Biology / Cancer Immunotherapy,PD-L1 immune checkpoint pathway,Tumor-associated B7-H1 promotes T-cell apoptosis: a potential mechanism of immune evasion,USA,Mayo Clinic; collaborators,Haidong Dong; Scott E. Strome; E. L. Salomao; H. Tamura; F. Hirano; D. B. Flies; P. C. Roche; J. Lu; et al.,2002,https://doi.org/10.1038/nm730,Public,Academic medical and nonprofit research institutions,PD-1/PD-L1 blockade became a dominant oncology platform with tens of billions in annual drug sales.,Checkpoint immunotherapy platform.
37,High-confidence,Biology / Cardiometabolic Genetics,PCSK9 inhibitors / cholesterol,Mutations in PCSK9 cause autosomal dominant hypercholesterolemia,France; Lebanon; Canada,Academic hospitals and universities,Marianne Abifadel; Catherine Boileau; Jean-Pierre Rabes; et al.,2003,https://doi.org/10.1038/ng1161,Public,Public and academic medical institutions,This genetics paper opened the PCSK9 inhibitor drug class for LDL cholesterol lowering.,Human genetics-to-drug platform.
38,High-confidence,Technology / Cloud Infrastructure,Google File System / cloud data infrastructure,The Google File System,USA,Google,Sanjay Ghemawat; Howard Gobioff; Shun-Tak Leung,2003,https://research.google/pubs/the-google-file-system/,Private,Private company,GFS shaped Google-scale storage and inspired Hadoop/cloud data infrastructure.,Infrastructure-platform impact.
39,High-confidence,Technology / Cloud Infrastructure,MapReduce / big data processing,MapReduce: simplified data processing on large clusters,USA,Google,Jeffrey Dean; Sanjay Ghemawat,2004,https://www.usenix.org/conference/osdi-04/mapreduce-simplified-data-processing-large-clusters,Private,Private company,"MapReduce became a defining distributed-computing abstraction and influenced Hadoop, analytics platforms, and cloud data processing.",Infrastructure-platform impact.
40,High-confidence,Biology / mRNA Medicines,Nucleoside-modified mRNA,Suppression of RNA recognition by Toll-like receptors: the impact of nucleoside modification and the evolutionary origin of RNA,USA,University of Pennsylvania,Katalin Kariko; Michael Buckstein; Houping Ni; Drew Weissman,2005,https://doi.org/10.1016/j.immuni.2005.06.008,Private,Private nonprofit university,"Nucleoside-modified mRNA became key to mRNA vaccines and therapeutics, including COVID-19 vaccines with massive sales.",One of the clearest modern biopharma platform papers.
41,High-confidence,Technology / Cloud Databases,Bigtable / NoSQL data systems,Bigtable: a distributed storage system for structured data,USA,Google,Fay Chang; Jeffrey Dean; Sanjay Ghemawat; Wilson C. Hsieh; Deborah A. Wallach; Mike Burrows; Tushar Chandra; Andrew Fikes; Robert E. Gruber,2006,https://doi.org/10.1145/1365815.1365816,Private,Private company,"Bigtable influenced NoSQL databases, cloud storage systems, and large-scale data infrastructure.",Infrastructure-platform impact.
42,High-confidence,Biology / Genomics,Sequencing by synthesis with reversible terminators,Four-color DNA sequencing by synthesis using cleavable fluorescent nucleotide reversible terminators,USA,Columbia University,Jingyue Ju; Ju Jingyue; et al.,2006,https://doi.org/10.1073/pnas.0609513103,Private,Private nonprofit university,Reversible-terminator sequencing by synthesis underpins Illumina/Solexa-style next-generation sequencing platforms.,"Platform revenue through sequencing instruments, consumables, and services."
43,High-confidence,Biology / RNA Drug Delivery,Ionizable lipid nanoparticles / RNA delivery,Rational design of cationic lipids for siRNA delivery,Canada; USA,Tekmira; Alnylam; University of British Columbia,Sarah C. Semple; Akin Akinc; Jeremy Chen; Anders P. Sandhu; Barbara L. Mui; Celia K. Cho; D. W. Y. Sah; David Stebbing; et al.; Pieter R. Cullis; Ian MacLachlan,2010,https://doi.org/10.1038/nbt.1602,Mixed,Private companies plus public university,"LNP delivery became essential for RNA medicines, including siRNA drugs and mRNA COVID vaccines.",Delivery-platform revenue across RNA medicines.
44,High-confidence,Biology / Antiviral Pharma,Sofosbuvir / hepatitis C cure,Discovery of a beta-d-2'-deoxy-2'-alpha-fluoro-2'-beta-C-methyluridine nucleotide prodrug for HCV therapy,USA,Pharmasset,Michael J. Sofia; David Bao; Wen Chang; Jinfa Du; Deepak Nagarathnam; Shalini Rachakonda; et al.,2010,https://doi.org/10.1021/jm100863x,Private,Private company,Sofosbuvir enabled curative HCV regimens and generated very large drug revenues after Gilead's acquisition of Pharmasset.,Direct drug-product revenue.
45,High-confidence,Biology / Cell Therapy,CD19 CAR-T cells,T cells with chimeric antigen receptors have potent antitumor effects and can establish memory in patients with advanced leukemia,USA,University of Pennsylvania,Michael Kalos; Bruce L. Levine; David L. Porter; Carl H. June; et al.,2011,https://doi.org/10.1126/scitranslmed.3002842,Private,Private nonprofit university,CAR-T created a new living-drug platform with approved multi-billion-dollar cell therapy markets.,Direct therapeutic-platform revenue.
46,High-confidence,Biology / Genome Editing,CRISPR-Cas9 programmable genome editing,A programmable dual-RNA-guided DNA endonuclease in adaptive bacterial immunity,USA; Sweden; Austria; Germany,UC Berkeley; Umea University; University of Vienna; Max Planck ecosystem,Martin Jinek; Krzysztof Chylinski; Ines Fonfara; Michael Hauer; Jennifer A. Doudna; Emmanuelle Charpentier,2012,https://doi.org/10.1126/science.1225829,Public,Public universities and public research institutes,"CRISPR became a platform for research tools, diagnostics, agriculture, and gene therapy.",Foundational genome-editing platform.
47,High-confidence,Technology / Artificial Intelligence,Deep learning / computer vision,ImageNet classification with deep convolutional neural networks / AlexNet,Canada,University of Toronto,Alex Krizhevsky; Ilya Sutskever; Geoffrey Hinton,2012,https://papers.nips.cc/paper/4824-imagenet-classification-with-deep-convolutional-neural-networks,Public,Public university,AlexNet triggered the modern deep-learning wave in computer vision and helped drive AI deployment and GPU demand.,Platform impact across AI products and hardware.
48,High-confidence,Technology / Artificial Intelligence,Residual networks / computer vision,Deep residual learning for image recognition / ResNet,China; USA,Microsoft Research Asia,Kaiming He; Xiangyu Zhang; Shaoqing Ren; Jian Sun,2015,https://arxiv.org/abs/1512.03385,Private,Private company research lab,"Residual networks became a default architecture across computer vision and perception stacks, supporting industrial AI and vision products.",AI platform impact; revenue indirect.
49,High-confidence,Technology / Robotics and Computer Vision,YOLO real-time object detection,"You Only Look Once: unified, real-time object detection",USA,University of Washington; Allen Institute for AI; Facebook AI Research,Joseph Redmon; Santosh Divvala; Ross Girshick; Ali Farhadi,2015-2016,https://arxiv.org/abs/1506.02640,Mixed,Public university plus nonprofit and private AI labs,"YOLO made real-time object detection deployable across cameras, robotics, autonomous systems, retail analytics, and edge AI.",Revenue attribution is diffuse across deployments.
50,High-confidence,Technology / Artificial Intelligence,Transformers / foundation models,Attention Is All You Need,USA,Google Brain / Google Research,Ashish Vaswani; Noam Shazeer; Niki Parmar; Jakob Uszkoreit; Llion Jones; Aidan Gomez; Lukasz Kaiser; Illia Polosukhin,2017,https://arxiv.org/abs/1706.03762,Private,Private company research lab,"Transformers underpin modern LLMs and generative AI, creating major revenues across AI software, cloud, and GPU hardware.",One of the clearest recent technology-platform billionaire papers.
51,High-confidence,Technology / Artificial Intelligence,BERT / pretrained language models,BERT: pre-training of deep bidirectional transformers for language understanding,USA,Google AI Language,Jacob Devlin; Ming-Wei Chang; Kenton Lee; Kristina Toutanova,2018,https://arxiv.org/abs/1810.04805,Private,Private company research lab,"BERT became a dominant pretrained-language-model architecture widely deployed in search, NLP products, enterprise AI, and later transformer ecosystems.",AI platform impact; revenue indirect.
52,Additional strong candidate,Mathematics / Cryptography,Elliptic-curve cryptography,Elliptic curve cryptosystems,USA,University of Washington; IBM,Neal Koblitz; Victor S. Miller,1985-1987,https://doi.org/10.1090/S0025-5718-1987-0866109-5; https://doi.org/10.1007/3-540-39799-X_31,Mixed,Public university and private company research lab,"ECC became central to mobile security, TLS, cryptocurrencies, and constrained-device cryptography.",Candidate because commercial revenue is bundled into broader cybersecurity and commerce.
53,Additional strong candidate,Materials Science / Displays,Quantum dots / QD displays and nanomaterials,Colloidal semiconductor nanocrystals / quantum dots paper family,USA,"Bell Labs; University of California, Berkeley",Louis E. Brus; A. Paul Alivisatos; collaborators,1980s-1990s,https://doi.org/10.1126/science.271.5251.933; https://pmc.ncbi.nlm.nih.gov/articles/PMC11106203/,Mixed,Private company lab plus public university,"Quantum dots became a commercial display, imaging, and nanomaterials platform; QD/QLED markets are multi-billion-dollar.",Candidate because it is a paper family rather than one isolated origin paper.
54,Additional strong candidate,Engineering / Robotics,Robot Operating System / ROS,ROS: an open-source Robot Operating System,USA,Stanford University; Willow Garage; University of Southern California ecosystem,Morgan Quigley; Ken Conley; Brian Gerkey; Josh Faust; Tully Foote; Jeremy Leibs; Rob Wheeler; Andrew Y. Ng,2009,https://www.willowgarage.com/sites/default/files/icraoss09-ROS.pdf,Mixed,Public university plus private robotics lab,"ROS became a de facto robotics software platform across research, industrial robotics, autonomous mobile robots, and startups.",Candidate because ROS is open-source and direct monetization is indirect.
55,Additional strong candidate,Engineering / Robotics,SLAM / autonomous robotics,Probabilistic SLAM / simultaneous localization and mapping paper family,Germany; USA,Universities and robotics labs,Sebastian Thrun; Wolfram Burgard; Dieter Fox; collaborators,Late 1990s-2000s,https://doi.org/10.1109/MRA.2006.1638022; https://doi.org/10.1109/MRA.2006.1678144,Mixed,Public universities and mixed robotics labs,"SLAM became central to warehouse robots, drones, robot vacuums, AR, and autonomous vehicles.",Candidate because revenue is spread across many products and papers.
56,Additional strong candidate,Biology / Artificial Intelligence,AlphaFold2 / protein structure prediction,Highly accurate protein structure prediction with AlphaFold,UK; USA,DeepMind,John Jumper; Richard Evans; Alexander Pritzel; Tim Green; Michael Figurnov; Olaf Ronneberger; Kathryn Tunyasuvunakool; Russ Bates; et al.; Demis Hassabis,2021,https://doi.org/10.1038/s41586-021-03819-2,Private,Private company research lab,"AlphaFold2 changed structural biology and drug-discovery workflows, with potential high commercial impact.",Candidate because direct more-than-US$1B revenue attribution is still less clear.
57,Additional strong candidate,Technology / Artificial Intelligence,Diffusion generative models,Denoising diffusion probabilistic models,USA,"University of California, Berkeley; Google ecosystem",Jonathan Ho; Ajay Jain; Pieter Abbeel,2020,https://arxiv.org/abs/2006.11239,Mixed,Public university plus private company ecosystem,Diffusion models underpin major image and video generation tools and a large generative-AI ecosystem.,"Candidate because revenue attribution is shared with transformers, GPUs, and product platforms."
58,Additional strong candidate,Technology / Cryptography and Financial Technology,Bitcoin / blockchain,Bitcoin: a peer-to-peer electronic cash system,Unknown / online,Non-institutional publication,Satoshi Nakamoto,2008,https://bitcoin.org/bitcoin.pdf,Non-institutional,Non-institutional / pseudonymous,Bitcoin created a cryptoasset and blockchain ecosystem with trillion-dollar-scale market capitalization at times.,Candidate kept outside normal institutional science publishing.
59,Additional strong candidate,Technology / Artificial Intelligence,Deep reinforcement learning / game AI,Human-level control through deep reinforcement learning; Mastering the game of Go with deep neural networks and tree search,UK,DeepMind,Volodymyr Mnih; Koray Kavukcuoglu; David Silver; Alex Graves; Ioannis Antonoglou; Daan Wierstra; Martin Riedmiller; et al.; David Silver; Aja Huang; Chris J. Maddison; Arthur Guez; Laurent Sifre; George van den Driessche; Julian Schrittwieser; Ioannis Antonoglou; et al.,2015-2016,https://doi.org/10.1038/nature14236; https://doi.org/10.1038/nature16961,Private,Private company research lab,"Deep RL and AlphaGo changed AI research and expectations for control, robotics, optimization, and game AI.",Candidate because direct commercial revenue is harder to isolate than transformers or vision models.
